实体名称,类型,经度,纬度,出现次数,有坐标变体
辽中南,region,123.4315,41.8057,11,否
辽中南地区,region,123.4315,41.8057,4,否
辽中南工业基地,region,123.4315,41.8057,1,否
辽宁省,province,123.4315,41.2956,201,是
辽河,river,123.4,41.2,24,是
辽源,city,125.1434,42.9024,46,是
辽源市,city,125.1434,42.9024,10,否
辽阳,city,123.2403,41.2698,42,否
辽阳市,city,123.2403,41.2698,12,是
达州,city,107.468,31.209,45,是
达州市,city,107.468,31.209,11,是
迁安,city,118.7008,40.0017,44,是
迁安市,city,118.7008,40.0017,18,否
运城,city,111.0067,35.0267,39,是
运城市,city,111.0067,35.0267,8,是
通化,city,125.9395,41.7285,38,是
通化市,city,125.9395,41.7285,11,是
通州,district|city,121.0719,32.0672,35,是
通州区,district|city|region,121.0719,32.0672,13,是
通辽,city,122.2432,43.6174,41,是
通辽市,city,122.2432,43.6174,11,是
遂宁,city,105.5929,30.5134,44,是
遂宁市,city,105.5929,30.5134,13,是
遵义,city,106.93,27.73,37,是
遵义市,city,106.9273,27.7257,9,是
遵化,city,117.9644,40.1892,39,是
遵化市,city,117.97,40.19,13,是
邢台,city,114.5042,37.0682,36,是
邢台市,city,114.5042,37.0682,9,是
邯郸,city,114.5391,36.6256,41,是
邯郸市,city,114.5391,36.6256,11,否
邳州,city,118.0,34.3167,29,是
邳州市,city,117.9636,34.3172,2,是
邵阳,city,111.4672,27.2368,46,否
邵阳市,city,111.4672,27.2368,15,否
郑州,city,113.6253,34.7466,24,是
郑州市,city,113.6253,34.7466,5,是
郴州,city,113.0149,25.7705,53,是
郴州市,city,113.0149,25.7705,13,是
都江堰,city|landmark,103.6076,31.0215,15,否
都江堰市,city,103.62,31.0,1,否
鄂尔多斯,city,109.7816,39.6086,46,是
鄂尔多斯市,city,109.7816,39.6086,11,否
鄱阳湖,lake,116.2,29.1,10,是
鄱阳湖生态经济区,region,115.8579,28.682,21,是
酒泉,city,98.4941,39.7238,44,是
酒泉市,city,98.4941,39.7238,7,是
重庆市,province|city,106.9123,29.4316,137,是
重庆洪崖洞,landmark,106.5781,29.5647,21,是
金华,city,119.6479,29.0787,44,否
金华市,city,119.6479,29.0787,8,是
金坛,city,119.5919,31.7408,15,否
金坛区,city,119.5919,31.7408,3,否
金昌,city,102.1879,38.5205,37,是
金昌市,city,102.1879,38.5205,14,否
钟鼓楼,landmark,108.9543,34.2608,4,是
钦州,city,108.6542,21.9731,34,是
钦州市,city,108.6542,21.9731,10,是
钱塘江,river,120.5,30.0,25,否
钱塘江入海口,landmark,120.9,30.05,3,是
铁力,city,128.0322,46.9867,40,否
铁力市,city,128.0322,46.9867,21,是
铁岭,city,123.8416,42.2906,41,是
铁岭市,city,123.8,42.3,13,是
铜仁,city,109.19,27.73,50,是
铜仁市,city,109.1896,27.7312,13,是
铜川,city,108.9454,34.8965,22,否
铜川市,city,108.9454,34.8965,9,是
银川,city,106.2731,38.4681,69,是
银川市,city,106.2731,38.4681,34,是
锦州,city,121.1269,41.0956,49,是
锦州市,city,121.1269,41.0956,14,否
长三角,region,121.4737,31.2304,23,否
长三角区域核心区,region,121.4737,31.2304,1,否
长三角地区,region,121.4737,31.2304,1,否
长城,landmark,116.5704,40.4319,18,是
长城八达岭段,landmark,116.5704,40.4319,1,否
长春,city,125.3245,43.8868,53,是
长春市,city,125.3245,43.8868,15,否
长株潭,region,112.9388,28.2282,20,否
长株潭地区,region,112.9388,28.2282,1,否
长株潭城市群,region,112.9388,28.2282,3,否
长江,river,121.5,31.0,36,是
长江三角洲,region,121.4737,31.2304,2,否
长江中游城市群,region,114.3055,30.5928,23,否
长江入海口,landmark,121.95,31.38,3,是
长江口,landmark,122.2,31.3,2,是
长沙,city,112.9388,28.2282,43,否
长沙市,city,112.9388,28.2282,5,否
长治,city,113.1161,36.1953,46,是
长治市,city,113.1163,36.1953,10,是
长白山脉,mountain,128.0,42.0,27,否
闽江,river,119.3,26.0,21,是
闽江入海口,landmark,119.3,26.0,2,是
阜新,city,121.6709,42.0215,49,否
阜新市,city,121.6709,42.0215,13,是
防城港,city,108.3547,21.6145,19,是
防城港市,city,108.3547,21.6145,6,是
阳泉,city,113.5833,37.8667,47,是
阳泉市,city,113.6,37.9,10,是
阴山山脉,mountain,111.0,41.5,24,是
阿城,district|region|city,126.9581,45.5481,51,是
阿城区,city,126.9581,45.5481,6,否
阿尔山,city,119.9475,47.1772,35,否
阿尔山市,city,119.9475,47.1772,8,否
阿尔泰山脉,mountain,88.0,48.0,18,否
陇南,city,104.9211,33.4007,44,是
陇南市,city,104.9211,33.4007,13,否
陕西省,province,108.9398,34.3416,232,是
雁荡山,mountain,121.0667,28.3167,6,是
雅安,city,103.0134,29.9806,43,是
雅安市,city,103.0134,29.9806,11,是
雅鲁藏布江,river,91.0,29.6,28,是
雅鲁藏布江源头,region,91.0,29.0,1,否
集安,city,126.1944,41.1258,35,是
集安市,city,126.19,41.13,15,是
雪峰山,mountain,110.5,27.5,25,是
雪峰山脉,mountain,110.5,27.5,18,是
霍林郭勒,city,119.6642,45.5339,23,是
霍林郭勒市,city,119.6642,45.5339,6,否
霸州,city,116.3914,39.1194,39,否
霸州市,city,116.3914,39.1194,9,是
青城山,landmark,103.5667,30.9,19,是
青岛,city,120.3826,36.0671,43,是
青岛市,city,120.3826,36.0671,6,否
青岛栈桥,landmark,120.3189,36.0556,26,是
青海湖,lake,100.2,36.9,34,否
青海省,province,101.7782,36.6171,209,是
靖江,city,120.2728,32.0158,51,否
靖江市,city,120.2728,32.0158,3,否
鞍山,city,122.9956,41.1087,43,是
鞍山市,city,122.9956,41.1087,11,是
韩江,river,116.6,24.1,23,是
韩江源头,river,116.6,25.5,1,否
颐和园,landmark,116.28,40.0,13,是
额尔古纳,city,120.1808,50.2431,38,是
额尔古纳市,city,120.1808,50.2431,7,否
额尔古纳河,river,119.5,50.5,23,是
香港特别行政区,province,114.1694,22.3193,38,否
驻马店,city,114.0222,33.0114,47,是
驻马店市,city,114.0222,33.0114,11,是
高碑店,city,115.8739,39.3264,46,否
高碑店市,city,115.8739,39.3264,8,否
高邮,city,119.4592,32.7814,45,是
高邮市,city,119.4592,32.7814,10,是
鸡西,city,130.9697,45.2956,39,是
鸡西市,city,130.9697,45.2956,14,是
鸭绿江,river,126.0,41.8,14,是
鹤岗,city,130.2979,47.35,47,否
鹤岗市,city,130.2979,47.35,5,否
黄冈,city,114.8722,30.4461,37,是
黄冈市,city,114.872,30.4461,18,是
黄山,city|mountain|landmark,118.1692,30.1314,17,否
黄山风景区,landmark,118.1692,30.1314,1,否
黄河,river,106.5,37.5,28,是
黄河入海口,landmark,118.5,37.8,1,否
黄鹤楼,landmark,114.2967,30.5436,19,是
黑河,city,127.5289,50.2456,40,是
黑河市,city,127.5289,50.2456,14,否
黑龙江,province|river,127.0,53.0,11,是
黑龙江省,province,126.6499,45.7732,140,是
鼓浪屿,landmark,118.0666,24.4464,12,是
鼓浪屿郑成功纪念馆,landmark,118.0694,24.4511,24,是
齐云山,mountain,118.0333,29.95,10,是
齐齐哈尔,city,123.918,47.354,37,是
齐齐哈尔市,city,123.918,47.354,4,否
龙井,city,129.4272,42.7711,52,是
龙井市,city,129.43,42.77,21,是
龙岩,city,117.0176,25.0616,39,否
龙岩市,city,117.0176,25.0616,13,否
龙虎山,mountain|landmark,116.9667,28.0333,22,是
龙门大桥,landmark,109.5,21.55,9,是
龙门石窟,landmark,112.4767,34.5556,22,是
