实体名称,类型,经度,纬度,出现次数,有坐标变体
太仓市,city,121.1292,31.4594,13,是
太原,city,112.5489,37.8706,54,是
太原市,city,112.5489,37.8706,7,是
太原都市圈,region,112.5489,37.8706,20,否
太湖,lake,120.1,31.2,32,是
太行山脉,mountain,113.5,37.0,17,否
如皋,city,120.5733,32.3833,39,是
如皋市,city,120.5733,32.3833,12,是
姜堰,region|district|city,120.1281,32.5086,48,是
姜堰区,city,120.1281,32.5086,8,是
威海,city,122.12,37.51,45,是
威海市,city,122.1202,37.5131,5,是
娄底,city,111.9939,27.7001,45,是
娄底市,city,111.9939,27.7001,11,是
嫩江,city|river,125.0,49.0,11,是
嫩江市,city,125.6,49.2,1,否
孝感,city,113.9169,30.9243,43,否
孝感市,city,113.9169,30.9243,13,否
宁夏回族自治区,province,106.2586,38.468,143,是
宁安,city,129.4833,44.35,34,否
宁安市,city,129.4833,44.35,21,是
宁德,city,119.5477,26.6617,39,是
宁德市,city,119.5477,26.6617,8,否
宁波,city,121.544,29.8683,45,是
宁波市,city,121.544,29.8683,5,否
安康,city,109.0293,32.685,59,是
安康市,city,109.0293,32.685,10,是
安徽省,province,117.2272,31.8612,245,是
安达,city,125.5533,46.4233,36,是
安达市,city,125.5533,46.4233,9,是
安阳,city,114.3927,36.0979,36,是
安阳市,city,114.3927,36.0979,12,否
安顺,city,105.9323,26.2455,34,否
安顺市,city,105.9323,26.2455,11,是
定州,city,114.9903,38.5164,23,是
定州市,city,114.9903,38.5164,7,是
定西,city,104.5861,35.5806,42,是
定西市,city,104.5861,35.5806,15,否
宜兴,city,119.8233,31.3397,25,是
宜兴市,city,119.8233,31.3397,1,否
宜宾,city,104.643,28.7696,42,是
宜宾市,city,104.643,28.7696,9,是
宜昌,city,111.2867,30.6918,43,是
宜昌市,city,111.2867,30.6918,11,是
宝鸡,city,107.2379,34.3616,41,是
宝鸡市,city,107.2379,34.3616,7,是
密山,city,131.8464,45.5294,51,是
密山市,city,131.85,45.53,18,是
富锦,city,132.0372,47.2467,39,是
富锦市,city,132.0372,47.2467,12,否
察尔汗盐湖,lake,95.3,36.9,18,否
小雁塔,landmark,108.94,34.24,21,是
少林寺,landmark,112.9447,34.5078,16,否
尚志,city,127.9617,45.2111,46,否
尚志市,city,127.9617,45.2111,12,是
山东半岛,region,117.1201,36.6512,18,是
山东省,province,117.0204,36.6683,210,是
山西省,province,111.8499,37.5707,161,是
岳阳,city,113.0963,29.3572,22,是
岳阳市,city,113.0963,29.3572,3,是
岳阳楼,landmark,113.0958,29.3728,17,是
岷江,river,103.8,30.5,27,否
峨眉山,mountain,103.4833,29.55,21,是
崂山,mountain,120.65,36.2,12,是
崇左,city,107.3646,22.3769,47,否
崇左市,city,107.3646,22.3769,8,是
嵩山,mountain,113.05,34.45,12,否
巢湖,lake|city,117.5,31.6,27,是
巴中,city,106.7478,31.8691,37,是
巴中市,city,106.7478,31.8691,15,否
巴彦淖尔,city,107.3879,40.7431,41,是
巴彦淖尔市,city,107.3879,40.7431,6,否
布达拉宫,landmark,91.1173,29.6579,19,否
常州,city,119.9741,31.8106,47,是
常州市,city,119.9741,31.8106,9,是
常德,city,111.6983,29.0318,23,是
常德市,city,111.6983,29.0318,7,否
常熟,city,120.7525,31.6547,46,是
常熟市,city,120.7525,31.6547,8,是
平凉,city,106.6654,35.543,50,否
平凉市,city,106.6654,35.543,18,否
平遥古城,landmark,112.1853,37.1894,21,是
广东省,province,113.0,23.4,153,是
广元,city,105.8431,32.4354,41,是
广元市,city,105.8431,32.4354,19,是
广安,city,106.6333,30.4564,15,否
广安市,city,106.6333,30.4564,5,否
广州,city,113.2644,23.1291,42,是
广州塔,landmark,113.3245,23.1061,14,是
广州市,city,113.3,23.1,11,是
广西壮族自治区,province|region,108.3275,22.8155,170,是
庄河,city,122.9714,39.6808,30,是
庄河市,city,122.9714,39.6808,14,否
庆阳,city,107.6432,35.7094,44,否
庆阳市,city,107.6432,35.7094,11,否
庐山,landmark,115.9928,29.5686,13,否
廊坊,city,116.6831,39.538,36,是
廊坊市,city,116.68,39.54,14,是
延吉,city,129.5089,42.9075,38,否
延吉市,city,129.5089,42.9075,12,是
延安,city,109.4898,36.5853,44,是
延安市,city,109.4898,36.5853,14,是
开封,city,114.3075,34.7971,45,是
开封市,city,114.3075,34.7971,9,否
张家口,city,114.8869,40.7677,44,是
张家口市,city,114.8869,40.7677,5,否
张家港,city,120.5533,31.8753,37,否
张家港市,city,120.5,31.9,9,是
张家界,city,110.4793,29.117,18,否
张家界市,city,110.4793,29.117,2,否
张掖,city,100.4496,38.9259,40,是
张掖市,city,100.4496,38.9259,8,是
微山湖,lake,117.1,34.6,22,是
德州,city,116.3575,37.4355,56,是
德州市,city,116.3575,37.4355,12,是
德惠,city,125.7042,44.5319,41,是
德惠市,city,125.7042,44.5319,8,是
德阳,city,104.398,31.127,49,是
